Time sec,Strain 1 %,,Time res,,Resistencia
269.246,-1.419786,,57832.5,542.59,0.028991
270.246,-1.45216,,57833.7,543.79,0.028858
271.246,-1.485216,,57836.11,546.2,0.02892
272.246,-1.518047,,57838.52,548.61,0.028889
273.246,-1.550125,,57839.72,549.81,0.028785
274.246,-1.582864,,57840.92,551.01,0.028829
275.246,-1.616261,,57843.33,553.42,0.028721
276.246,-1.648382,,57845.73,555.82,0.028746
277.246,-1.681319,,57848.14,558.23,0.028539
278.246,-1.71353,,57849.34,559.43,0.028668
279.246,-1.747279,,57850.55,560.64,0.02876
280.246,-1.780112,,57851.75,561.84,0.028678
281.246,-1.812681,,57852.95,563.04,0.028672
282.246,-1.846152,,57855.36,565.45,0.029192
283.246,-1.877911,,57856.56,566.65,0.029147
284.246,-1.911405,,57858.97,569.06,0.029121
285.246,-1.944997,,57860.17,570.26,0.02906
286.246,-1.977042,,57861.38,571.47,0.028975
287.246,-2.00981,,57862.58,572.67,0.029107
288.246,-2.041604,,57864.98,575.07,0.029168
289.246,-2.073984,,57866.19,576.28,0.029313
290.246,-2.107084,,57867.39,577.48,0.029211
291.246,-2.13961,,57869.8,579.89,0.0292
292.246,-2.172139,,57872.2,582.29,0.029362
293.246,-2.204355,,57874.61,584.7,0.029405
294.246,-2.236666,,57875.81,585.9,0.029574
295.214,-2.268359,,57877.02,587.11,0.029454
296.214,-2.301449,,57878.22,588.31,0.029403
297.2,-2.332256,,57879.42,589.51,0.029775
298.168,-2.36484,,57881.83,591.92,0.029593
299.15,-2.398005,,57884.23,594.32,0.029934
300.15,-2.432107,,57886.64,596.73,0.030059
301.06,-2.462076,,57887.84,597.93,0.030249
302.01,-2.494786,,57890.25,600.34,0.030315
302.93,-2.525657,,57892.66,602.75,0.03044
303.87,-2.558502,,57893.86,603.95,0.030508
304.83,-2.589355,,57895.06,605.15,0.030713
305.822,-2.622245,,57896.27,606.36,0.030867
306.77,-2.654779,,57897.47,607.56,0.030927
307.77,-2.688193,,57898.67,608.76,0.030875
308.77,-2.724313,,57899.88,609.97,0.031048
309.77,-2.757264,,57901.08,611.17,0.031069
310.77,-2.791358,,57903.48,613.57,0.031372
311.77,-2.825745,,57905.89,615.98,0.031489
312.77,-2.875966,,57907.09,617.18,0.031936
313.77,-2.923423,,57908.3,618.39,0.031795
314.77,-2.961743,,57909.5,619.59,0.031841
315.77,-3.003539,,57910.7,620.79,0.032007
316.77,-3.04786,,57911.91,622,0.032099
317.404,-3.073828,,57913.11,623.2,0.032532
317.406,-3.073889,,57915.52,625.61,0.032777
317.754,-3.072045,,57916.72,626.81,0.033035
317.988,-3.067852,,57917.92,628.01,0.033043
318.256,-3.062767,,57920.33,630.42,0.0333
318.542,-3.055398,,57921.53,631.62,0.033176
318.84,-3.049895,,57922.73,632.82,0.033264
319.14,-3.043633,,57923.94,634.03,0.033291
319.448,-3.035673,,57926.34,636.43,0.033424
319.768,-3.030001,,57927.55,637.64,0.033153
320.108,-3.020888,,57929.95,640.04,0.033246
320.456,-3.013408,,57932.36,642.45,0.033092
320.836,-3.004391,,57934.77,644.86,0.033238
321.226,-2.995378,,57935.97,646.06,0.033242
321.628,-2.983885,,57937.17,647.26,0.033257
322.054,-2.974224,,57939.58,649.67,0.033685
322.492,-2.963003,,57941.98,652.07,0.033832
322.93,-2.95078,,57944.39,654.48,0.033994
323.394,-2.939402,,57946.8,656.89,0.033935
323.868,-2.926375,,57948,658.09,0.033963
324.348,-2.913574,,57949.2,659.29,0.03421
324.84,-2.900272,,57950.41,660.5,0.03405
325.346,-2.887433,,57951.61,661.7,0.034189
325.876,-2.873806,,57952.81,662.9,0.034168
326.402,-2.860616,,57954.02,664.11,0.034238
326.952,-2.846036,,57955.22,665.31,0.034214
327.506,-2.830819,,57956.42,666.51,0.034123
328.062,-2.81512,,57958.83,668.92,0.034099
328.63,-2.798913,,57961.23,671.32,0.034205
329.208,-2.782581,,57962.44,672.53,0.034094
329.792,-2.765447,,57963.64,673.73,0.034095
330.39,-2.747661,,57966.05,676.14,0.033995
331.002,-2.729209,,57967.25,677.34,0.034019
331.628,-2.709097,,57968.45,678.54,0.033904
332.28,-2.688712,,57970.86,680.95,0.03327
332.94,-2.667256,,57973.27,683.36,0.032857
333.634,-2.645919,,57974.47,684.56,0.032647
334.328,-2.623166,,57975.67,685.76,0.032484
335.066,-2.59934,,57976.88,686.97,0.032113
335.796,-2.575843,,57978.08,688.17,0.031913
336.574,-2.551607,,57980.48,690.57,0.031833
337.362,-2.525935,,57982.89,692.98,0.031494
338.17,-2.499719,,57984.09,694.18,0.031277
339,-2.473789,,57985.3,695.39,0.031658
339.842,-2.445146,,57986.5,696.59,0.031464
340.712,-2.416867,,57987.7,697.79,0.031519
341.616,-2.388342,,57990.11,700.2,0.031157
342.52,-2.356416,,57992.52,702.61,0.030855
343.466,-2.325485,,57993.72,703.81,0.030772
344.42,-2.292529,,57996.13,706.22,0.030605
345.412,-2.259427,,57997.33,707.42,0.030424
346.412,-2.225294,,57999.73,709.82,0.03048
347.412,-2.190254,,58002.14,712.23,0.030128
348.412,-2.15533,,58004.55,714.64,0.030139
349.412,-2.119471,,58005.75,715.84,0.030121
350.412,-2.084426,,58006.95,717.04,0.03034
351.412,-2.04807,,58009.36,719.45,0.030248
352.412,-2.011193,,58010.56,720.65,0.030284
353.412,-1.976066,,58011.77,721.86,0.030356
354.412,-1.938664,,58012.97,723.06,0.030292
355.412,-1.902532,,58014.17,724.26,0.030405
356.412,-1.866309,,58015.38,725.47,0.030378
357.412,-1.830363,,58016.58,726.67,0.030679
358.412,-1.794302,,58018.98,729.07,0.030521
359.412,-1.758453,,58021.39,731.48,0.030654
360.412,-1.721807,,58022.59,732.68,0.030372
361.412,-1.684961,,58023.8,733.89,0.030399
362.412,-1.649823,,58025,735.09,0.030515
363.412,-1.614011,,58026.2,736.29,0.030387
364.412,-1.577878,,58028.61,738.7,0.030389
365.412,-1.5413,,58031.02,741.11,0.030491
366.412,-1.50534,,58032.22,742.31,0.030205
367.412,-1.469681,,58033.42,743.51,0.030317
368.412,-1.434762,,58035.83,745.92,0.030678
369.412,-1.400488,,58038.23,748.32,0.030437
370.412,-1.36659,,58040.64,750.73,0.030519
371.412,-1.333105,,58041.84,751.93,0.030276
372.412,-1.299757,,58043.05,753.14,0.030385
373.412,-1.268071,,58044.25,754.34,0.030348
374.412,-1.235139,,58045.45,755.54,0.030049
375.412,-1.204825,,58047.86,757.95,0.030149
376.412,-1.173922,,58050.27,760.36,0.02999
377.412,-1.143939,,58051.47,761.56,0.030142
378.412,-1.113946,,58053.88,763.97,0.030049
379.412,-1.085119,,58055.08,765.17,0.03011
380.412,-1.056584,,58057.48,767.57,0.03015
381.412,-1.029288,,58059.89,769.98,0.030259
382.412,-1.002467,,58061.09,771.18,0.030087
383.412,-0.9765994,,58063.5,773.59,0.030397
384.412,-0.9513681,,58064.7,774.79,0.030307
385.412,-0.92639,,58067.11,777.2,0.030394
386.412,-0.9026253,,58069.52,779.61,0.030706
387.412,-0.8782937,,58070.72,780.81,0.030573
388.412,-0.8563609,,58071.92,782.01,0.03077
389.412,-0.8332906,,58073.13,783.22,0.030792
390.412,-0.8117768,,58074.33,784.42,0.030848
391.412,-0.7919688,,58076.73,786.82,0.031022
392.412,-0.7731094,,58079.14,789.23,0.03123
393.412,-0.7550014,,58080.34,790.43,0.031206
394.412,-0.7384956,,58081.55,791.64,0.03134
395.412,-0.723479,,58082.75,792.84,0.031552
396.412,-0.7093124,,58085.16,795.25,0.031663
397.412,-0.6943848,,58087.56,797.65,0.032035
398.412,-0.6802823,,58088.77,798.86,0.03212
399.412,-0.6680859,,58089.97,800.06,0.032089
400.412,-0.657394,,58091.17,801.26,0.0323
401.412,-0.6480405,,58093.58,803.67,0.032602
402.412,-0.6423164,,58095.98,806.07,0.032695
403.412,-0.6398466,,58098.39,808.48,0.033201
404.412,-0.6379303,,58099.59,809.68,0.033144
405.412,-0.6369436,,58100.8,810.89,0.033095
406.412,-0.6368043,,58103.2,813.29,0.03364
407.412,-0.6366497,,58104.41,814.5,0.033631
408.412,-0.6355678,,58105.61,815.7,0.033768
409.412,-0.6355797,,58106.81,816.9,0.033859
410.412,-0.6353645,,58108.02,818.11,0.033977
411.412,-0.6352424,,58110.42,820.51,0.034457
412.412,-0.6346129,,58111.63,821.72,0.034458
413.412,-0.6353796,,58114.03,824.12,0.034837
413.414,-0.6354503,,58116.44,826.53,0.035014
413.416,-0.6354909,,58118.84,828.93,0.03511
414.416,-0.6340125,,58120.05,830.14,0.03535
415.416,-0.6348419,,58121.25,831.34,0.035319
416.416,-0.634841,,58122.45,832.54,0.035168
417.416,-0.6346077,,58124.86,834.95,0.035356
