Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   5.03 0.004073  99.32    2.0
   5.04 0.004074  99.35    2.0
   5.05 0.004076  99.40    2.1
   5.06 0.004077  99.43    2.2
   5.07 0.004078  99.46    2.4
   5.08 0.004080  99.50    2.5
   5.09 0.004081  99.52    2.7
   5.11 0.004082  99.56    2.7
   5.12 0.004083  99.58    2.7
   5.13 0.004085  99.62    2.7
   5.14 0.004086  99.65    2.7
   5.15 0.004087  99.67    2.6
   5.16 0.004088  99.69    2.5
   5.17 0.004088  99.70    2.3
   5.18 0.004089  99.73    2.2
   5.20 0.004091  99.77    2.2
   5.21 0.004092  99.80    2.2
   5.22 0.004093  99.81    2.2
   5.23 0.004094  99.85    2.1
   5.24 0.004095  99.86    2.1
   5.25 0.004095  99.88    2.0
   5.26 0.004097  99.91    2.0
   5.27 0.004098  99.95    2.1
   5.29 0.004099  99.97    2.1
   5.30 0.004100  99.99    2.1
   5.31 0.004101 100.01    2.0
   5.32 0.004102 100.05    2.0
   5.33 0.004103 100.07    2.1
   5.34 0.004105 100.11    2.2
   5.35 0.004106 100.14    2.2
   5.37 0.004108 100.18    2.3
   5.38 0.004109 100.22    2.4
   5.39 0.004110 100.24    2.5
   5.40 0.004111 100.25    2.4
   5.41 0.004112 100.28    2.4
   5.42 0.004113 100.30    2.4
   5.43 0.004114 100.33    2.3
   5.44 0.004115 100.35    2.2
   5.45 0.004115 100.36    2.1
   5.47 0.004116 100.38    2.0
   5.48 0.004117 100.41    1.9
   5.49 0.004118 100.43    1.8
   5.50 0.004119 100.44    1.7
   5.51 0.004120 100.48    1.8
   5.52 0.004121 100.50    1.8
   5.53 0.004122 100.52    1.8
   5.54 0.004123 100.54    1.8
   5.56 0.004124 100.57    1.8
   5.57 0.004125 100.59    1.9
   5.58 0.004125 100.60    1.9
   5.59 0.004126 100.63    1.8
   5.60 0.004127 100.65    1.8
   5.61 0.004128 100.66    1.8
   5.62 0.004128 100.68    1.7
   5.64 0.004128 100.68    1.6
   5.65 0.004129 100.69    1.5
   5.66 0.004130 100.71    1.4
   5.67 0.004130 100.72    1.3
   5.68 0.004131 100.75    1.2
   5.69 0.004132 100.77    1.3
   5.70 0.004133 100.79    1.3
   5.71 0.004134 100.81    1.3
   5.72 0.004134 100.83    1.4
   5.74 0.004135 100.84    1.4
   5.75 0.004139 100.93    1.7
   5.76 0.004072  99.31   -3.3
   5.77 0.003976  96.96  -14.8
   5.78 0.003896  95.00  -30.4
   5.79 0.003721  90.74  -56.0
   5.80 0.003516  85.73  -91.7
   5.81 0.003340  81.45 -132.2
   5.83 0.003160  77.07 -175.3
   5.84 0.002957  72.11 -220.5
   5.85 0.002766  67.45 -263.8
   5.86 0.002583  62.99 -302.0
   5.87 0.002407  58.69 -332.0
   5.88 0.002238  54.56 -350.5
   5.89 0.002074  50.57 -361.1
   5.90 0.001914  46.67 -364.7
   5.92 0.001759  42.89 -358.8
   5.93 0.001610  39.26 -350.3
   5.94 0.001466  35.74 -342.0
   5.95 0.001326  32.34 -331.8
   5.96 0.001190  29.01 -320.2
   5.97 0.001059  25.82 -309.7
   5.98 0.000939  22.89 -299.1
   6.00 0.000831  20.27 -288.0
   6.01 0.000739  18.01 -275.5
   6.02 0.000647  15.78 -262.0
   6.03 0.000559  13.63 -248.0
   6.04 0.000476  11.59 -233.8
   6.05 0.000396   9.65 -219.6
   6.06 0.000320   7.81 -205.8
   6.07 0.000247   6.02 -192.7
   6.08 0.000176   4.29 -180.7
   6.10 0.000112   2.74 -169.9
   6.11 0.000054   1.32 -160.4
   6.12 0.000004   0.09 -151.6
   6.13 -.000045  -1.10 -143.3
   6.14 -.000095  -2.31 -135.0
   6.15 -.000144  -3.51 -127.1
   6.16 -.000194  -4.74 -120.0
   6.17 -.000244  -5.95 -113.8
   6.19 -.000294  -7.18 -108.7
   6.20 -.000345  -8.42 -104.7
   6.21 -.000397  -9.67 -102.0
   6.22 -.000448 -10.93 -100.7
   6.23 -.000500 -12.19 -100.5
   6.24 -.000552 -13.46 -101.0
   6.25 -.000604 -14.73 -101.6
   6.26 -.000657 -16.02 -102.2
   6.28 -.000709 -17.29 -102.8
   6.29 -.000762 -18.57 -103.3
   6.30 -.000814 -19.84 -103.7
   6.31 -.000865 -21.09 -104.0
   6.32 -.000916 -22.33 -104.0
   6.33 -.000967 -23.57 -103.9
   6.34 -.001016 -24.78 -103.6
   6.35 -.001066 -25.99 -103.2
   6.37 -.001114 -27.15 -102.4
   6.38 -.001162 -28.33 -101.6
   6.39 -.001209 -29.47 -100.5
   6.40 -.001255 -30.61  -99.4
   6.41 -.001301 -31.72  -98.1
   6.42 -.001346 -32.81  -96.8
   6.43 -.001390 -33.89  -95.4
   6.44 -.001434 -34.96  -94.1
   6.46 -.001476 -35.98  -92.6
   6.47 -.001518 -37.01  -91.2
   6.48 -.001559 -38.02  -89.7
   6.49 -.001599 -38.98  -88.2
   6.50 -.001638 -39.94  -86.6
