Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   6.18 0.005509 134.35    6.6
   6.20 0.005511 134.41    6.2
   6.21 0.005514 134.49    6.0
   6.22 0.005518 134.59    6.0
   6.23 0.005522 134.68    5.9
   6.24 0.005524 134.73    5.9
   6.25 0.005526 134.78    5.9
   6.26 0.005527 134.80    5.8
   6.27 0.005529 134.85    5.7
   6.29 0.005532 134.92    5.5
   6.30 0.005535 134.99    5.2
   6.31 0.005537 135.05    5.1
   6.32 0.005538 135.08    4.8
   6.33 0.005540 135.12    4.5
   6.34 0.005549 135.34    4.8
   6.35 0.005552 135.40    5.2
   6.36 0.005553 135.45    5.5
   6.38 0.005555 135.48    5.7
   6.39 0.005556 135.50    5.7
   6.40 0.005559 135.58    5.7
   6.41 0.005561 135.64    5.6
   6.42 0.005563 135.69    5.4
   6.43 0.005566 135.75    5.3
   6.44 0.005562 135.65    4.6
   6.45 0.005561 135.63    3.6
   6.46 0.005565 135.73    2.8
   6.48 0.005568 135.80    2.7
   6.49 0.005571 135.89    2.8
   6.50 0.005574 135.94    2.9
   6.51 0.005575 135.98    3.0
   6.52 0.005573 135.93    2.8
   6.53 0.005568 135.79    2.2
   6.54 0.005569 135.83    1.8
   6.55 0.005571 135.87    1.6
   6.57 0.005572 135.90    1.6
   6.58 0.005575 135.96    1.4
   6.59 0.005576 136.00    1.0
   6.60 0.005577 136.03    0.9
   6.61 0.005579 136.07    1.0
   6.62 0.005581 136.11    1.4
   6.63 0.005583 136.17    2.0
   6.64 0.005585 136.22    2.9
   6.66 0.005586 136.25    3.4
   6.67 0.005586 136.25    3.4
   6.68 0.005586 136.25    3.1
   6.69 0.005587 136.26    2.8
   6.70 0.005589 136.31    2.6
   6.71 0.005590 136.34    2.4
   6.72 0.005589 136.31    2.1
   6.73 0.005589 136.33    1.8
   6.75 0.005588 136.29    1.3
   6.76 0.005586 136.23    0.7
   6.77 0.005588 136.30    0.4
   6.78 0.005591 136.36    0.5
   6.79 0.005591 136.36    0.6
   6.80 0.005591 136.37    0.6
   6.81 0.005594 136.44    0.8
   6.82 0.005595 136.47    1.0
   6.84 0.005596 136.49    1.3
   6.85 0.005597 136.52    1.8
   6.86 0.005598 136.54    2.1
   6.87 0.005599 136.55    2.3
   6.88 0.005599 136.56    2.4
   6.89 0.005601 136.60    2.2
   6.90 0.005603 136.65    2.1
   6.91 0.005605 136.70    2.3
   6.93 0.005605 136.71    2.3
   6.94 0.005607 136.75    2.3
   6.95 0.005607 136.76    2.3
   6.96 0.005608 136.78    2.3
   6.97 0.005609 136.80    2.3
   6.98 0.005610 136.82    2.3
   6.99 0.005610 136.82    2.1
   7.00 0.005611 136.85    2.0
   7.01 0.005610 136.82    1.7
   7.03 0.005609 136.81    1.3
   7.04 0.005610 136.83    1.0
   7.05 0.005612 136.87    0.9
   7.06 0.005613 136.90    0.9
   7.07 0.005614 136.92    0.9
   7.08 0.005614 136.92    1.0
   7.09 0.005614 136.92    1.0
   7.10 0.005613 136.91    0.9
   7.12 0.005614 136.93    1.0
   7.13 0.005615 136.95    1.0
   7.14 0.005615 136.96    1.1
   7.15 0.005615 136.94    1.0
   7.16 0.005615 136.95    0.8
   7.17 0.005616 136.98    0.6
   7.18 0.005616 136.96    0.5
   7.20 0.005615 136.95    0.4
   7.21 0.005615 136.94    0.3
   7.22 0.005615 136.95    0.3
   7.23 0.005616 136.98    0.3
   7.24 0.005615 136.95    0.1
   7.25 0.005610 136.82   -0.4
   7.26 0.005610 136.81   -0.8
   7.27 0.005609 136.81   -1.1
   7.28 0.005613 136.90   -1.1
   7.30 0.005614 136.93   -0.9
   7.31 0.005614 136.93   -0.6
   7.32 0.005615 136.94   -0.3
   7.33 0.005612 136.88   -0.3
   7.34 0.005609 136.81   -0.4
   7.35 0.005611 136.84   -0.4
   7.36 0.005613 136.90    0.0
   7.37 0.005616 136.97    0.6
   7.39 0.005605 136.71   -0.2
   7.40 0.005563 135.69   -4.1
