Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   7.14 0.017374 424.09   -1.7
   7.15 0.017716 432.46    9.4
   7.16 0.012084 294.84 -416.3
   7.17 0.007382 180.07 %-1141.4
   7.18 0.004586 111.84 %-1913.8
   7.19 0.003793  92.49 %-2588.1
   7.20 0.002880  70.23 %-3108.1
   7.22 0.002955  72.07 %-3432.1
   7.23 0.002586  63.07 %-3578.3
   7.24 0.002749  67.04 %-3501.0
   7.25 0.002558  62.37 %-3247.7
   7.26 0.002629  64.10 %-2755.9
   7.27 0.002573  62.74 %-2086.7
   7.28 0.002489  60.70 %-1185.5
   7.29 0.002593  63.24 -576.1
   7.30 0.002450  59.75 -272.7
   7.32 0.002660  64.86 -138.5
   7.33 0.002388  58.23  -70.4
   7.34 0.002590  63.16  -50.0
   7.35 0.002275  55.49  -43.0
   7.36 0.002582  62.96  -36.4
   7.37 0.002234  54.47  -41.7
   7.38 0.002656  64.76  -24.8
   7.39 0.009835 239.94  549.7
   7.41 0.013875 338.58 1329.4
   7.42 0.015475 377.68 2066.6
   7.43 0.016597 405.11 2718.0
   7.44 0.016891 412.29 3183.1
   7.45 0.017262 421.37 3493.6
   7.46 0.017259 421.29 3574.8
   7.47 0.017342 423.30 3472.5
   7.48 0.017382 424.28 3138.2
   7.50 0.017226 420.48 2608.3
   7.51 0.017384 424.35 1853.9
   7.52 0.017214 420.18  912.6
   7.53 0.017397 424.67  434.6
   7.54 0.017267 421.47  208.3
   7.55 0.017567 428.82  103.3
   7.56 0.017346 423.41   54.2
   7.57 0.017694 431.92   48.2
   7.59 0.017562 428.69   54.6
   7.60 0.017757 433.46   71.6
   7.61 0.017768 433.73   89.9
   7.62 0.010647 259.75 -442.8
   7.63 0.006512 158.82 %-1213.7
   7.64 0.004345 105.96 %-1986.8
   7.65 0.003500  85.36 %-2657.8
   7.66 0.002850  69.50 %-3170.2
   7.67 0.002860  69.74 %-3490.0
   7.69 0.002516  61.36 %-3607.2
   7.70 0.002756  67.21 %-3515.4
   7.71 0.002567  62.59 %-3202.1
   7.72 0.002684  65.45 %-2680.2
   7.73 0.002591  63.18 %-1939.3
   7.74 0.002572  62.72 -986.5
   7.75 0.002539  61.91 -472.0
