Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   4.91 0.000119   2.90  -58.6
   4.93 0.000091   2.22  -58.1
   4.94 0.000063   1.55  -57.7
   4.95 0.000036   0.88  -57.2
   4.96 0.000009   0.22  -56.8
   4.97 -.000019  -0.45  -56.3
   4.98 -.000045  -1.10  -55.8
   4.99 -.000072  -1.75  -55.4
   5.00 -.000098  -2.39  -54.9
   5.02 -.000124  -3.03  -54.5
   5.03 -.000150  -3.65  -54.0
   5.04 -.000176  -4.28  -53.5
   5.05 -.000201  -4.90  -53.1
   5.06 -.000226  -5.52  -52.6
   5.07 -.000251  -6.12  -52.2
   5.08 -.000276  -6.73  -51.7
   5.10 -.000300  -7.32  -51.2
   5.11 -.000324  -7.91  -50.8
   5.12 -.000348  -8.49  -50.3
   5.13 -.000372  -9.08  -49.8
   5.14 -.000396  -9.65  -49.4
   5.15 -.000420 -10.23  -48.9
   5.16 -.000442 -10.79  -48.5
   5.17 -.000466 -11.35  -48.0
   5.18 -.000489 -11.91  -47.6
   5.20 -.000511 -12.46  -47.2
   5.21 -.000534 -13.01  -46.8
   5.22 -.000555 -13.53  -46.4
   5.23 -.000578 -14.09  -46.0
   5.24 -.000600 -14.62  -45.6
   5.25 -.000621 -15.14  -45.2
   5.26 -.000643 -15.67  -44.8
   5.27 -.000664 -16.19  -44.4
   5.29 -.000685 -16.70  -44.0
   5.30 -.000706 -17.22  -43.7
   5.31 -.000727 -17.72  -43.3
   5.32 -.000748 -18.23  -43.0
   5.33 -.000769 -18.74  -42.7
   5.34 -.000788 -19.22  -42.4
   5.35 -.000809 -19.72  -42.0
   5.37 -.000829 -20.22  -41.7
   5.38 -.000849 -20.70  -41.5
   5.39 -.000869 -21.18  -41.1
   5.40 -.000888 -21.66  -40.8
   5.41 -.000908 -22.13  -40.5
   5.42 -.000927 -22.61  -40.2
   5.43 -.000946 -23.07  -39.9
   5.44 -.000965 -23.54  -39.5
   5.45 -.000984 -23.99  -39.2
   5.47 -.001003 -24.45  -38.9
   5.48 -.001021 -24.90  -38.6
   5.49 -.001040 -25.35  -38.3
   5.50 -.001058 -25.80  -38.0
   5.51 -.001076 -26.23  -37.7
   5.52 -.001094 -26.68  -37.4
   5.53 -.001112 -27.12  -37.1
   5.54 -.001129 -27.54  -36.8
   5.56 -.001147 -27.97  -36.5
   5.57 -.001165 -28.40  -36.2
   5.58 -.001182 -28.81  -35.9
   5.59 -.001199 -29.24  -35.6
   5.60 -.001215 -29.63  -35.3
   5.61 -.001232 -30.05  -35.0
   5.62 -.001249 -30.46  -34.7
   5.63 -.001265 -30.85  -34.4
   5.65 -.001282 -31.26  -34.1
   5.66 -.001298 -31.65  -33.8
   5.67 -.001315 -32.05  -33.6
   5.68 -.001331 -32.44  -33.3
   5.69 -.001347 -32.83  -33.1
   5.70 -.001362 -33.21  -32.8
   5.71 -.001378 -33.59  -32.5
   5.72 -.001393 -33.96  -32.3
   5.74 -.001408 -34.34  -32.0
   5.75 -.001424 -34.71  -31.7
   5.76 -.001439 -35.08  -31.5
   5.77 -.001454 -35.44  -31.2
   5.78 -.001468 -35.80  -30.9
   5.79 -.001483 -36.17  -30.7
   5.80 -.001498 -36.52  -30.4
   5.81 -.001513 -36.88  -30.2
   5.83 -.001527 -37.24  -30.0
   5.84 -.001542 -37.59  -29.8
   5.85 -.001556 -37.93  -29.6
   5.86 -.001570 -38.28  -29.4
   5.87 -.001584 -38.63  -29.2
   5.88 -.001598 -38.96  -29.0
   5.89 -.001612 -39.30  -28.8
   5.90 -.001626 -39.63  -28.5
   5.92 -.001639 -39.96  -28.3
   5.93 -.001653 -40.29  -28.1
   5.94 -.001666 -40.62  -27.8
   5.95 -.001679 -40.94  -27.6
   5.96 -.001692 -41.26  -27.4
   5.97 -.001705 -41.58  -27.2
   5.98 -.001719 -41.91  -27.0
   6.00 -.001732 -42.22  -26.8
   6.01 -.001744 -42.52  -26.6
   6.02 -.001757 -42.84  -26.4
   6.03 -.001770 -43.14  -26.2
   6.04 -.001782 -43.46  -26.0
   6.05 -.001795 -43.76  -25.8
   6.06 -.001807 -44.05  -25.6
   6.07 -.001820 -44.36  -25.5
   6.08 -.001831 -44.65  -25.3
   6.10 -.001844 -44.95  -25.1
   6.11 -.001855 -45.23  -24.8
   6.12 -.001867 -45.52  -24.7
   6.13 -.001879 -45.82  -24.5
   6.14 -.001891 -46.11  -24.3
   6.15 -.001903 -46.40  -24.2
   6.16 -.001915 -46.68  -24.1
   6.17 -.001926 -46.97  -23.9
   6.19 -.001938 -47.25  -23.8
   6.20 -.001949 -47.52  -23.7
   6.21 -.001960 -47.80  -23.5
   6.22 -.001972 -48.07  -23.4
   6.23 -.001983 -48.34  -23.2
   6.24 -.001994 -48.62  -23.0
   6.25 -.002005 -48.88  -22.8
   6.26 -.002016 -49.15  -22.6
   6.28 -.002027 -49.43  -22.5
   6.29 -.002038 -49.69  -22.4
   6.30 -.002048 -49.94  -22.2
   6.31 -.002059 -50.19  -22.0
   6.32 -.002070 -50.46  -21.9
   6.33 -.002080 -50.72  -21.8
   6.34 -.002091 -50.97  -21.6
   6.35 -.002101 -51.22  -21.4
   6.37 -.002111 -51.48  -21.3
   6.38 -.002121 -51.71  -21.1
   6.39 -.002131 -51.95  -20.9
   6.40 -.002141 -52.20  -20.7
   6.41 -.002151 -52.44  -20.5
   6.42 -.002161 -52.68  -20.4
   6.43 -.002170 -52.90  -20.2
   6.44 -.002180 -53.14  -20.0
   6.46 -.002189 -53.37  -19.8
   6.47 -.002199 -53.62  -19.7
   6.48 -.002208 -53.84  -19.5
   6.49 -.002218 -54.07  -19.4
   6.50 -.002227 -54.29  -19.3
   6.51 -.002236 -54.52  -19.1
   6.52 -.002245 -54.75  -19.0
   6.53 -.002254 -54.96  -18.8
   6.55 -.002263 -55.18  -18.7
   6.56 -.002272 -55.40  -18.6
   6.57 -.002281 -55.61  -18.4
   6.58 -.002290 -55.82  -18.2
   6.59 -.002298 -56.04  -18.1
   6.60 -.002307 -56.24  -17.9
   6.61 -.002315 -56.45  -17.8
   6.62 -.002324 -56.65  -17.6
   6.64 -.002332 -56.86  -17.4
   6.65 -.002340 -57.06  -17.3
   6.66 -.002349 -57.26  -17.1
   6.67 -.002357 -57.45  -17.0
   6.68 -.002365 -57.66  -16.8
   6.69 -.002373 -57.86  -16.7
   6.70 -.002382 -58.06  -16.6
   6.71 -.002389 -58.25  -16.5
   6.73 -.002398 -58.45  -16.5
   6.74 -.002405 -58.64  -16.4
   6.75 -.002413 -58.83  -16.3
   6.76 -.002421 -59.02  -16.1
   6.77 -.002429 -59.22  -16.1
   6.78 -.002436 -59.40  -16.0
   6.79 -.002444 -59.58  -15.9
   6.80 -.002451 -59.77  -15.7
   6.82 -.002459 -59.95  -15.6
   6.83 -.002466 -60.13  -15.5
   6.84 -.002474 -60.31  -15.3
   6.85 -.002481 -60.48  -15.2
   6.86 -.002488 -60.66  -15.1
   6.87 -.002495 -60.83  -14.9
   6.88 -.002502 -60.99  -14.7
   6.89 -.002509 -61.17  -14.5
   6.90 -.002515 -61.33  -14.4
   6.92 -.002522 -61.50  -14.2
   6.93 -.002528 -61.64  -14.0
   6.94 -.002535 -61.80  -13.8
   6.95 -.002541 -61.96  -13.6
   6.96 -.002546 -62.08  -13.3
   6.97 -.002551 -62.19  -12.9
   6.98 -.002555 -62.30  -12.5
   7.00 -.002560 -62.40  -11.9
   7.01 -.002563 -62.50  -11.3
   7.02 -.002567 -62.58  -10.6
   7.03 -.002571 -62.68  -10.0
   7.04 -.002574 -62.76   -9.3
   7.05 -.002578 -62.84   -8.7
   7.06 -.002581 -62.92   -8.2
   7.07 -.002585 -63.02   -7.7
   7.09 -.002588 -63.09   -7.4
   7.10 -.002591 -63.17   -7.2
   7.11 -.002594 -63.24   -7.0
   7.12 -.002597 -63.32   -6.8
   7.13 -.002600 -63.39   -6.7
   7.14 -.002604 -63.48   -6.6
   7.15 -.002607 -63.56   -6.5
   7.16 -.002610 -63.63   -6.5
   7.18 -.002613 -63.71   -6.4
   7.19 -.002616 -63.78   -6.4
   7.20 -.002619 -63.84   -6.3
   7.21 -.002622 -63.92   -6.2
   7.22 -.002624 -63.98   -6.1
   7.23 -.002628 -64.06   -6.1
   7.24 -.002631 -64.14   -6.0
   7.25 -.002633 -64.21   -6.0
   7.27 -.002636 -64.26   -5.9
   7.28 -.002638 -64.33   -5.8
   7.29 -.002641 -64.39   -5.7
   7.30 -.002644 -64.46   -5.7
   7.31 -.002647 -64.53   -5.6
   7.32 -.002649 -64.58   -5.5
   7.33 -.002651 -64.64   -5.4
   7.34 -.002654 -64.71   -5.3
   7.36 -.002656 -64.76   -5.2
   7.37 -.002658 -64.81   -5.1
   7.38 -.002661 -64.87   -5.0
   7.39 -.002663 -64.93   -5.0
   7.40 -.002666 -65.00   -4.9
   7.41 -.002668 -65.05   -4.8
   7.42 -.002671 -65.11   -4.8
   7.43 -.002673 -65.17   -4.8
   7.45 -.002675 -65.22   -4.8
   7.46 -.002677 -65.28   -4.7
   7.47 -.002680 -65.33   -4.7
   7.48 -.002682 -65.39   -4.7
   7.49 -.002685 -65.45   -4.7
   7.50 -.002687 -65.52   -4.8
   7.51 -.002690 -65.59   -4.8
   7.52 -.002693 -65.65   -4.8
   7.54 -.002695 -65.71   -4.9
   7.55 -.002698 -65.78   -5.0
   7.56 -.002701 -65.86   -5.1
   7.57 -.002704 -65.93   -5.3
   7.58 -.002707 -66.01   -5.4
   7.59 -.002711 -66.09   -5.6
   7.60 -.002714 -66.16   -5.8
   7.61 -.002717 -66.24   -5.9
   7.63 -.002720 -66.32   -6.0
   7.64 -.002724 -66.40   -6.1
   7.65 -.002728 -66.50   -6.3
   7.66 -.002730 -66.57   -6.4
   7.67 -.002734 -66.65   -6.5
   7.68 -.002737 -66.73   -6.5
   7.69 -.002741 -66.82   -6.6
   7.70 -.002744 -66.90   -6.7
   7.72 -.002747 -66.98   -6.7
   7.73 -.002751 -67.06   -6.7
   7.74 -.002754 -67.14   -6.7
   7.75 -.002758 -67.23   -6.7
   7.76 -.002761 -67.32   -6.8
   7.77 -.002764 -67.40   -6.8
   7.78 -.002768 -67.50   -6.9
   7.79 -.002772 -67.59   -7.0
   7.80 -.002775 -67.67   -7.0
   7.82 -.002779 -67.76   -7.0
   7.83 -.002783 -67.86   -7.2
   7.84 -.002787 -67.94   -7.2
   7.85 -.002790 -68.03   -7.3
   7.86 -.002794 -68.12   -7.3
   7.87 -.002798 -68.21   -7.3
   7.88 -.002802 -68.30   -7.3
   7.90 -.002805 -68.39   -7.3
   7.91 -.002809 -68.48   -7.3
   7.92 -.002812 -68.56   -7.3
   7.93 -.002816 -68.65   -7.3
   7.94 -.002819 -68.73   -7.3
   7.95 -.002823 -68.82   -7.2
   7.96 -.002827 -68.92   -7.2
   7.97 -.002830 -69.00   -7.2
   7.99 -.002834 -69.10   -7.2
   8.00 -.002838 -69.19   -7.3
   8.01 -.002842 -69.29   -7.3
   8.02 -.002845 -69.36   -7.3
   8.03 -.002849 -69.45   -7.3
   8.04 -.002852 -69.54   -7.4
   8.05 -.002856 -69.63   -7.4
   8.06 -.002859 -69.71   -7.3
   8.07 -.002863 -69.81   -7.3
   8.09 -.002867 -69.89   -7.3
   8.10 -.002870 -69.97   -7.2
   8.11 -.002873 -70.06   -7.1
   8.12 -.002877 -70.14   -7.1
   8.13 -.002880 -70.23   -7.0
   8.14 -.002884 -70.32   -7.1
   8.15 -.002888 -70.41   -7.1
   8.17 -.002891 -70.49   -7.1
   8.18 -.002895 -70.58   -7.1
   8.19 -.002898 -70.66   -7.1
   8.20 -.002902 -70.76   -7.1
   8.21 -.002906 -70.84   -7.1
   8.22 -.002909 -70.92   -7.2
   8.23 -.002913 -71.01   -7.1
