Datos generados por TERE.BAS el 06-11-2007
 t[min] T[§C] V[§C/min]
   4.21 0.005000 121.93   12.4
   4.22 0.005003 122.02   12.3
   4.23 0.005004 122.05   11.8
   4.24 0.005012 122.23   11.5
   4.25 0.005018 122.38   11.4
   4.26 0.005020 122.44   11.1
   4.27 0.005025 122.55   10.6
   4.28 0.005029 122.66   10.2
   4.30 0.005035 122.80    9.7
   4.31 0.005040 122.93    9.4
   4.32 0.005047 123.09    9.5
   4.33 0.005050 123.17    9.5
   4.34 0.005056 123.30    9.8
   4.35 0.005062 123.45   10.1
   4.36 0.005066 123.56   10.0
   4.37 0.005071 123.68   10.1
   4.39 0.005074 123.76   10.2
   4.40 0.005079 123.87   10.0
   4.41 0.005083 123.97    9.8
   4.42 0.005087 124.06    9.4
   4.43 0.005091 124.16    9.1
   4.44 0.005094 124.25    8.7
   4.45 0.005099 124.35    8.6
   4.46 0.005102 124.44    8.3
   4.48 0.005106 124.52    8.0
   4.49 0.005110 124.62    7.8
   4.50 0.005114 124.71    7.7
   4.51 0.005118 124.81    7.7
   4.52 0.005122 124.91    7.7
   4.53 0.005125 125.00    7.7
   4.54 0.005126 125.02    7.5
   4.55 0.005131 125.13    7.3
   4.57 0.005132 125.17    7.0
   4.58 0.005135 125.25    6.8
   4.59 0.005138 125.32    6.5
   4.60 0.005141 125.38    6.3
   4.61 0.005145 125.47    6.1
   4.62 0.005148 125.54    5.9
   4.63 0.005151 125.62    5.8
   4.64 0.005154 125.71    5.8
   4.66 0.005158 125.79    6.0
   4.67 0.005161 125.87    6.2
   4.68 0.005164 125.95    6.3
   4.69 0.005168 126.04    6.5
   4.70 0.005170 126.10    6.5
   4.71 0.005173 126.17    6.5
   4.72 0.005177 126.26    6.5
   4.73 0.005178 126.28    6.3
   4.75 0.005181 126.36    6.2
   4.76 0.005184 126.44    6.0
   4.77 0.005187 126.50    5.8
   4.78 0.005189 126.55    5.6
   4.79 0.005192 126.62    5.5
   4.80 0.005192 126.62    5.2
   4.81 0.005189 126.56    4.5
   4.82 0.005192 126.62    4.0
   4.84 0.005192 126.64    3.5
   4.85 0.005193 126.65    2.9
   4.86 0.005195 126.69    2.6
   4.87 0.005196 126.74    2.2
   4.88 0.005199 126.79    2.1
   4.89 0.005201 126.85    2.1
   4.90 0.005203 126.89    2.3
   4.91 0.005203 126.90    2.5
   4.93 0.005202 126.88    2.6
   4.94 0.005202 126.88    2.7
   4.95 0.005204 126.91    2.5
   4.96 0.005206 126.96    2.4
   4.97 0.005208 127.01    2.3
   4.98 0.005211 127.10    2.4
   4.99 0.005214 127.16    2.6
   5.00 0.005214 127.18    2.7
   5.02 0.005215 127.20    2.8
   5.03 0.005216 127.21    3.0
   5.04 0.005217 127.25    3.2
   5.05 0.005218 127.27    3.3
   5.06 0.005220 127.31    3.2
   5.07 0.005222 127.35    3.1
   5.08 0.005225 127.43    3.0
   5.09 0.005227 127.49    3.0
   5.11 0.005230 127.54    3.1
   5.12 0.005232 127.60    3.3
   5.13 0.005235 127.67    3.8
   5.14 0.005236 127.70    4.0
   5.15 0.005238 127.74    4.2
   5.16 0.005240 127.80    4.3
   5.17 0.005240 127.80    4.3
   5.18 0.005241 127.81    4.0
   5.20 0.005242 127.84    3.6
   5.21 0.005243 127.86    3.2
   5.22 0.005244 127.91    2.9
   5.23 0.005246 127.94    2.7
   5.24 0.005247 127.96    2.5
   5.25 0.005246 127.95    2.2
   5.26 0.005248 127.99    2.1
   5.27 0.005249 128.02    2.0
   5.29 0.005249 128.02    1.9
   5.30 0.005251 128.06    1.9
   5.31 0.005254 128.14    2.1
   5.32 0.005256 128.18    2.3
   5.33 0.005253 128.12    2.1
   5.34 0.005255 128.17    2.1
   5.35 0.005259 128.25    2.2
   5.37 0.005260 128.29    2.5
   5.38 0.005259 128.27    2.5
   5.39 0.005260 128.29    2.4
   5.40 0.005263 128.35    2.5
   5.41 0.005264 128.38    2.5
   5.42 0.005263 128.36    2.2
   5.43 0.005263 128.36    2.0
   5.44 0.005264 128.38    1.9
   5.45 0.005266 128.44    2.0
   5.47 0.005267 128.46    1.8
   5.48 0.005268 128.49    1.6
   5.49 0.005270 128.52    1.8
   5.50 0.005272 128.57    2.0
   5.51 0.005273 128.60    2.1
   5.52 0.005274 128.63    2.2
   5.53 0.005273 128.60    2.2
