Datos generados por TERE.BAS el 06-14-2007
 t[min] T[§C] V[§C/min]
   4.05 0.006123 149.35  -13.2
   4.07 0.006121 149.30  -17.9
   4.08 0.006131 149.53  -20.5
   4.09 0.006121 149.30  -22.2
   4.10 0.006112 149.08  -23.1
   4.11 0.006141 149.78  -20.8
   4.12 0.006156 150.15  -16.3
   4.13 0.006170 150.49  -10.2
   4.14 0.006176 150.64   -3.3
   4.16 0.006184 150.83    4.4
   4.17 0.006190 150.97   10.2
   4.18 0.006187 150.89   15.1
   4.19 0.006188 150.92   15.3
   4.20 0.006194 151.08   15.1
   4.21 0.006196 151.11   14.7
   4.22 0.006196 151.12   12.6
   4.23 0.006198 151.16    8.8
   4.24 0.006199 151.19    6.5
   4.26 0.006202 151.26    5.0
   4.27 0.006197 151.14    3.7
   4.28 0.006192 151.03    2.2
   4.29 0.006191 151.00    1.2
   4.30 0.006193 151.05    0.8
   4.31 0.006182 150.78   -0.9
   4.32 0.006163 150.32   -3.8
   4.34 0.006163 150.33   -5.8
   4.35 0.006162 150.31   -7.3
   4.36 0.006167 150.43   -7.8
   4.37 0.006176 150.62   -7.3
   4.38 0.006190 150.98   -5.2
   4.39 0.006189 150.95   -2.8
   4.40 0.006193 151.04   -0.4
   4.41 0.006198 151.17    2.1
   4.43 0.006192 151.04    4.0
   4.44 0.006194 151.08    6.1
   4.45 0.006158 150.21    4.5
   4.46 0.006070 148.05   -5.3
   4.47 0.005964 145.46  -22.0
   4.48 0.005868 143.13  -43.3
   4.49 0.005772 140.79  -67.4
   4.50 0.005636 137.45  -95.8
   4.51 0.005485 133.78 -126.9
   4.53 0.005329 129.97 -160.2
   4.54 0.005187 126.51 -192.1
   4.55 0.005048 123.12 -220.1
   4.56 0.004877 118.94 -245.7
   4.57 0.004719 115.09 -264.9
   4.58 0.004587 111.87 -276.9
   4.59 0.004460 108.76 -284.7
   4.60 0.004319 105.34 -290.4
   4.62 0.004190 102.20 -291.7
   4.63 0.004070  99.26 -287.6
   4.64 0.003952  96.38 -281.2
   4.65 0.003837  93.56 -273.7
   4.66 0.003722  90.76 -266.3
   4.67 0.003609  88.02 -257.9
   4.68 0.003499  85.33 -248.5
   4.70 0.003391  82.69 -241.4
   4.71 0.003285  80.10 -236.1
   4.72 0.003179  77.54 -230.7
   4.73 0.003077  75.04 -225.1
   4.74 0.002977  72.60 -220.7
   4.75 0.002878  70.17 -216.8
   4.76 0.002780  67.80 -213.0
   4.77 0.002685  65.48 -209.2
   4.78 0.002592  63.21 -205.4
   4.80 0.002500  60.96 -201.7
   4.81 0.002410  58.78 -197.9
   4.82 0.002322  56.62 -194.3
   4.83 0.002235  54.50 -190.7
   4.84 0.002150  52.43 -187.1
   4.85 0.002066  50.37 -183.8
   4.86 0.001983  48.36 -180.4
   4.87 0.001902  46.38 -177.2
   4.89 0.001823  44.44 -174.0
   4.90 0.001744  42.53 -171.0
   4.91 0.001667  40.66 -168.0
   4.92 0.001592  38.83 -165.0
   4.93 0.001518  37.01 -162.2
   4.94 0.001445  35.25 -159.3
   4.95 0.001374  33.50 -156.5
   4.96 0.001304  31.79 -153.7
   4.98 0.001234  30.10 -151.0
   4.99 0.001166  28.44 -148.4
   5.00 0.001100  26.81 -145.8
   5.01 0.001034  25.22 -143.2
   5.02 0.000970  23.66 -140.7
   5.03 0.000907  22.11 -138.2
   5.04 0.000845  20.59 -135.8
   5.05 0.000783  19.10 -133.5
   5.07 0.000723  17.64 -131.2
   5.08 0.000665  16.20 -128.9
   5.09 0.000606  14.78 -126.7
   5.10 0.000550  13.40 -124.4
   5.11 0.000493  12.03 -122.3
   5.12 0.000438  10.69 -120.2
   5.13 0.000384   9.36 -118.2
   5.14 0.000331   8.07 -116.1
   5.16 0.000281   6.84 -114.0
   5.17 0.000232   5.66 -111.7
   5.18 0.000186   4.54 -109.1
   5.19 0.000142   3.45 -106.3
   5.20 0.000101   2.46 -103.2
   5.21 0.000063   1.54  -99.6
   5.22 0.000028   0.68  -95.6
   5.23 -.000006  -0.14  -91.2
   5.25 -.000037  -0.89  -86.5
   5.26 -.000064  -1.55  -81.5
   5.27 -.000083  -2.02  -76.0
   5.28 -.000099  -2.41  -69.9
   5.29 -.000111  -2.71  -63.4
   5.30 -.000125  -3.06  -56.8
   5.31 -.000141  -3.43  -50.7
   5.32 -.000159  -3.87  -45.4
   5.34 -.000179  -4.36  -41.2
   5.35 -.000201  -4.89  -38.1
   5.36 -.000224  -5.46  -36.4
   5.37 -.000247  -6.03  -36.0
   5.38 -.000273  -6.65  -37.0
   5.39 -.000299  -7.29  -39.1
   5.40 -.000327  -7.96  -41.8
   5.41 -.000354  -8.64  -44.7
   5.42 -.000383  -9.35  -47.4
   5.44 -.000413 -10.06  -49.8
   5.45 -.000442 -10.78  -51.8
   5.46 -.000473 -11.53  -53.7
   5.47 -.000503 -12.26  -55.3
   5.48 -.000534 -13.01  -56.7
   5.49 -.000565 -13.78  -58.0
   5.50 -.000596 -14.53  -59.0
   5.51 -.000627 -15.30  -59.9
   5.53 -.000659 -16.06  -60.6
   5.54 -.000690 -16.83  -61.2
   5.55 -.000722 -17.60  -61.7
   5.56 -.000753 -18.36  -62.0
   5.57 -.000784 -19.12  -62.3
   5.58 -.000815 -19.87  -62.4
   5.59 -.000846 -20.63  -62.5
   5.60 -.000877 -21.37  -62.4
   5.62 -.000907 -22.12  -62.3
   5.63 -.000937 -22.85  -62.1
   5.64 -.000968 -23.59  -61.9
   5.65 -.000997 -24.31  -61.5
   5.66 -.001028 -25.05  -61.3
   5.67 -.001056 -25.75  -60.9
   5.68 -.001085 -26.46  -60.5
   5.69 -.001114 -27.16  -60.0
   5.71 -.001142 -27.86  -59.6
   5.72 -.001170 -28.53  -59.0
   5.73 -.001198 -29.21  -58.5
   5.74 -.001225 -29.88  -57.9
   5.75 -.001252 -30.53  -57.3
   5.76 -.001279 -31.19  -56.6
   5.77 -.001306 -31.83  -56.0
   5.78 -.001332 -32.48  -55.4
   5.80 -.001358 -33.10  -54.8
   5.81 -.001383 -33.72  -54.1
   5.82 -.001408 -34.34  -53.5
   5.83 -.001433 -34.95  -52.9
   5.84 -.001458 -35.55  -52.3
   5.85 -.001482 -36.14  -51.7
   5.86 -.001506 -36.71  -51.0
   5.87 -.001530 -37.29  -50.4
   5.89 -.001553 -37.86  -49.7
   5.90 -.001576 -38.42  -49.1
   5.91 -.001598 -38.97  -48.4
   5.92 -.001621 -39.51  -47.8
   5.93 -.001643 -40.06  -47.2
   5.94 -.001665 -40.59  -46.5
   5.95 -.001686 -41.12  -45.9
   5.96 -.001708 -41.64  -45.4
   5.97 -.001729 -42.16  -44.8
   5.99 -.001750 -42.66  -44.3
   6.00 -.001770 -43.17  -43.8
   6.01 -.001790 -43.65  -43.2
   6.02 -.001811 -44.14  -42.7
   6.03 -.001830 -44.63  -42.2
